user,total_pnl_usd,trade_count,market_groups_traded,primary_group
0xf705fa045201391d9632b7f3cde06a5e24453ca7,75919.15929100002,1012,2,other
0x971639c4a072d15ad14be0a8fc7584e70bad378a,75862.8690645,1217,23,mlb_game&nfl_game
0x63d43bbb87f85af03b8f2f9e2fad7b54334fa2f1,75295.79299100004,144347,227,crypto_launch
0x8a053495aa2f8ea8930367d7cca1f17578235c62,74815.99438850001,790,11,esports_match
0x0f1b8f81fdcb47b6c3292b8dbf6c2c16b3c4d367,74588.03080000004,18613,3,other
0x27653cd5aab78f00563f50a03c12504a9b877ee4,74019.0411395,15284,97,esports_match
0xbff3921adb0a997abac3a137ab25b2893866f1fa,73329.93031065377,33,2,nfl_game
0x5314305babb27b745f0d401076b97fbb2dae910c,72651.75959200005,6808,31,other
0x57a8d63731277200ed26cfde9a8a830d94f36933,70478.00573050001,690,15,nfl_game
0x4c9df37296cbf4399cad2283d3f3b8ef7e1668dc,70309.30369100001,331,6,soccer_game
0xee035898c9ec311c6692e08b465ea388380c3eea,69602.995891,3229,35,esports_match
0xa49becb692927d455924583b5e3e5788246f4c40,69317.64465100002,9206,70,geopolitics_diplomacy
0x68dd6269bb89d27a850dcde0d59ee824a227f0b2,68529.043664,528,5,nba_game
0x56813812fc837eedb614d8c231787f83a865e113,68526.828383,62,2,esports_match&geopolitics_conflict
0x8b5a7da2fdf239b51b9c68a2a1a35bb156d200f2,68488.28090700004,1553,17,geopolitics_diplomacy&us_politics_figures
0xce77d3df0932478448e9562a7e1ccca7b6b735d5,68213.817785,940,6,ufc_fight
0x2aa22a2d9379e9adb7cb0d1d760763f697ab4d22,68211.58539699999,4212,25,nba_game
0x69378489c322133b285a669963d058dd5c5c085d,65359.39678149999,566,8,esports_match&geopolitics_conflict
0xb85e5c96b0fa57aa9d5ce7ca6ea72409034b6e0f,64568.685411000006,5375,1,crypto_launch
0x827b8a78c18825d3621652c8e556f35db64501ce,64024.472943,3161,75,tech_ai_launch
0x3196ba30d70949790c65e2fdd5e28f3144c5146f,63902.597509000014,32,2,soccer_game
0xca85f4b9e472b542e1df039594eeaebb6d466bf2,63749.83090200001,709864,2,crypto_launch
0xc35049bc7b6bd28a49a40b261466ca91aad63669,63642.02084,1859,26,nhl_game
0xc6587b11a2209e46dfe3928b31c5514a8e33b784,63453.79760600001,1106,21,us_politics_figures
0x2ea8e33aabf9d711066f7c1fb6e2aa02db1c1fbf,63418.835746000004,14957,53,other
0x9c16127eccf031df45461ef1e04b52ea286a09cb,63287.5,7,1,tennis_tour
0x7694e0af0d79cb4cf15319b51468c62b53c92b66,62721.132023,14154,2,crypto_launch
0xf6415fa0aa9cb944c1c4afb9bc53ca82dd797b6f,62442.164992,10469,44,soccer_game
0x842dabdbf420acea760af817fe7c85a249179d4d,62432.97074300002,135539,2,other
0x16cbe223607a6513ae76d1e3751c78e4eabc2704,62406.639104,12927,52,soccer_game
0xc6050f56eba3cee344af08fd88bef06858ffd372,62254.886332999995,683,6,mlb_game
0xa9650fe4301f45e7f090ada7252f9c1268183565,62094.989938000035,61196,48,crypto_launch
0x96c4b0f5d839f5cb44ae07762441559ee2c2bfde,61748.370192999995,2832,46,crypto_launch
0x5bffcf561bcae83af680ad600cb99f1184d6ffbe,61703.49192999998,2260,27,geopolitics_diplomacy&soccer_game
0x3ed7344d1e9df0ced4706c6800603cee226de617,61502.39774599999,141,5,nfl_game
0x4c54c453ae6b083bcc37ccbc2bccb84064eacc1e,61297.210510000004,1927,39,mlb_game
0x5a371d9e58be6718f8f2504aecc524bfc86790fd,60579.590366,6,1,other
0xa84bdfe6ffa8bc7dd21b5c412258062e7b765055,59711.12972699999,1922,26,nba_game
0x3cf3e8d5427aed066a7a5926980600f6c3cf87b3,59153.26439375858,52596,137,other
0x74471b41d42905a5ca6ab276a3227baf8a1ceb22,58511.724809,20301,2,crypto_launch
0xe5c8026239919339b988fdb150a7ef4ea196d3e7,58127.477144000004,398,10,market_terms
0xe83cc0c82d009a1c349c1a89feaadfcee9655e8f,58020.32994600001,8468,69,other
0xf8a6f30bb738ca39fff47e38c2f526e53e9da12d,57969.313682,81,1,crypto_launch
0xcc8f0e3bd33b98eb19a0c122397b6ce69cffa7bb,57678.32975800003,1755,18,other
0xe25b9180f5687aa85bd94ee309bb72a464320f1b,57638.8276665,8071,93,other
0x561da78ed154ec53be6603eeae10160dbf634912,57296.31608000002,9,1,other
0x351a72160e477863d13666c62ef1e7631b3940bb,57199.574649999995,288,11,us_politics_figures
0xcef7546f9069ecd6a05f7c1ad04c92b0f851e7d7,57167.905221000015,4609,33,soccer_game
0x01baeccca6daf3d1ed2b562007f1f9e7ef9cb77a,56658.776416999994,1362,7,other
0x21d9811f4e886cfa7fc42aa802e7f97a16f3653e,55729.490274,5063,2,crypto_launch
0xe6535d86446728d567f4929557c2c4eb3cdbc4a7,54698.458216000006,846,8,other
0x614dc8d3542c12103d2c6a3553fd761e391d1546,54306.959025,3797,48,us_politics_figures
0xc5f46df7b697e7313589568eb4ab0a2df40fbc4f,53429.076185000005,51,1,nba_game&us_politics_figures
0x52adfc7943d5ba7967314321341ff2e78310337d,52035.013153,689,11,soccer_game&tech_ai_launch
0x37d233470853a5ff49acbe7c01394714e4fc45ee,51784.046532,248,3,crypto_launch
0x5a181dcf3eb53a09fb32b20a5a9312fb8d26f689,51782.10707600002,237,10,geopolitics_diplomacy&nba_game
0x57c5de7efafb020e589f80e0da6e16e9b5c907aa,51719.927255,715,17,us_politics_figures
0x6356fb47642a028bc09df92023c35a21a0b41885,51352.75655047184,15822,121,music_awards
0x4ef0194e8cfd5617972665826f402836ac5f15a0,51304.49549800002,201299,2,other
0x9efd3eb7b39a3989ec262c7f9790cab9c33880f3,51100.142273,7,1,crypto_launch
0x38c2734df152fcd3a27469770b5b08a0e62fd3a7,50816.12694200001,390,9,mlb_game
